+------------------------------------------------------------+----------------------------------+-------------+------------+-------------------------------------------------------------------------+
| Title                                                      | Artist                           | Votes Added | New Rating |                                                          New Votes List |
| Back In Black                                              | AC/DC                            |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| Rock N Roll Train                                          | AC/DC                            |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Vol 16 - Deep House, Tech House, Underground (BPM 120-126) | Deep, Tech and Underground       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Down With The Sickness                                     | Disturbed                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| Conflict                                                   | Disturbed                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| No News                                                    | KMFDM                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Sweet Home Alabama                                         | Lynyrd Skynyrd                   |           9 |        9.0 |                                                               9;9;9;9;9 |
| Born To Be Wild                                            | Steppenwolf                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Supernova - Progressive Psytrance Mix 2014                 | Tobias Bassline                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| The Pot                                                    | Tool                             |           9 |        9.0 |                                                               9;9;9;9;9 |
| Lost Keys (Blame Hofmann)                                  | Tool                             |           9 |        9.0 |                                                               9;9;9;9;9 |
| Psychedelic Chillout Music for Your Mind                   | Upbeat Monk                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| All Mixed Up                                               | 311                              |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Halftime                                                   | Young Thug                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Room To Breathe                                            | You Me At Six                    |           9 |        9.0 |                                                               9;9;9;9;9 |
| Still Counting                                             | Volbeat                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| She Builds Quick Machines                                  | Velvet Revolver                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| The Perfect Drug                                           | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Down                                                       | 311                              |      9;9;10 |        9.3 |                                      9;9;10;9;9;10;9;9;10;9;9;10;9;9;10 |
| Pusher                                                     | Nickelback                       |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Where?                                                     | Nickelback                       |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Too Many Puppies                                           | Primus                           |           9 |        9.0 |                                                               9;9;9;9;9 |
| Shake Hands With Beef                                      | Primus                           |           9 |        9.0 |                                                               9;9;9;9;9 |
| 2 Minutes To Midnight                                      | Iron Maiden                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Night Drive                                                | The All-American Rejects         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Glycerine                                                  | Bush                             |           9 |        9.0 |                                                               9;9;9;9;9 |
| Ich Will                                                   | Rammstein                        |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| Benzin                                                     | Rammstein                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| Du Hast                                                    | Rammstein                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| Start Me Up                                                | The Rolling Stones               |           9 |        9.0 |                                                               9;9;9;9;9 |
| Say You'll Haunt Me                                        | Stone Sour                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Agoraphobia                                                | Incubus                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| Lose It                                                    | Atreyu                           |           9 |        9.0 |                                                               9;9;9;9;9 |
| Lose Yourself (Album Version) (Explicit)                   | Eminem                           |           9 |        9.0 |                                                               9;9;9;9;9 |
| Lose Yourself (Instrumental)                               | Eminem                           |           9 |        9.0 |                                                               9;9;9;9;9 |
| Soothsayer (Dedicated To Aunt Suzie)                       | Buckethead                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Crazy                                                      | From Ashes To New                |           9 |        9.0 |                                                               9;9;9;9;9 |
| My Struggle                                                | Lil Boosie                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Lydia                                                      | Highly Suspect                   |           9 |        9.0 |                                                               9;9;9;9;9 |
| Never Gonna Stop (The Red Red Kroovy)                      | Rob Zombie                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Show Me How To Live                                        | Audioslave                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Bring Em Back Alive                                        | Audioslave                       |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Your Time Has Come                                         | Audioslave                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Man Or Animal                                              | Audioslave                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Low                                                        | Cracker                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| Judas                                                      | Fozzy                            |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Ave Maria                                                  | KMFDM                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| One Step Closer                                            | Linkin Park                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| By Myself                                                  | Linkin Park                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Don't Stay                                                 | Linkin Park                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Somewhere I Belong                                         | Linkin Park                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Lying From You                                             | Linkin Park                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Easier To Run                                              | Linkin Park                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Leader Of Men                                              | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Money Bought                                               | Nickelback                       |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Something In Your Mouth                                    | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Burn It To The Ground                                      | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Shakin' Hands                                              | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Get 'Em Up                                                 | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Last                                                       | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Help Me I Am In Hell                                       | Nine Inch Nails                  |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| Gave Up                                                    | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Physical                                                   | Nine Inch Nails                  |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| The Wretched                                               | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| We're In This Together                                     | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| The Fragile                                                | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Even Deeper                                                | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Starfuckers, Inc.                                          | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Underneath It All                                          | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Pets                                                       | Porno For Pyros                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Novacaine                                                  | 10 Years                         |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Giving In                                                  | Adema                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Picture Perfect                                            | Escape The Fate                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Goat                                                       | Static X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Dead & Bloated                                             | Stone Temple Pilots              |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Plush                                                      | Stone Temple Pilots              |     9;10;10 |        9.7 |                                 9;10;10;9;10;10;9;10;10;9;10;10;9;10;10 |
| Where The River Goes                                       | Stone Temple Pilots              |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Eraser                                                     | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Big Man With A Gun                                         | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Reptile                                                    | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| The Downward Spiral                                        | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Let The Sparks Fly                                         | Thousand Foot Krutch             |           9 |        9.0 |                                                               9;9;9;9;9 |
| Rammstein                                                  | Rammstein                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| Wollt Ihr Das Bett In Flammen Sehen                        | Rammstein                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| Crush                                                      | Smashing Pumpkins                |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Siva                                                       | Smashing Pumpkins                |           9 |        9.0 |                                                               9;9;9;9;9 |
| Bury Me                                                    | Smashing Pumpkins                |           9 |        9.0 |                                                               9;9;9;9;9 |
| Blurry                                                     | Puddle Of Mudd                   |           9 |        9.0 |                                                               9;9;9;9;9 |
| Basement                                                   | Puddle Of Mudd                   |           9 |        9.0 |                                                               9;9;9;9;9 |
| 3 Peat                                                     | Lil Wayne                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| Soldiers                                                   | Otherwise                        |           9 |        9.0 |                                                               9;9;9;9;9 |
| Aeroplane                                                  | Red Hot Chili Peppers            |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| Fortune Faded                                              | Red Hot Chili Peppers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Voodoo Too                                                 | Godsmack                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Over Now                                                   | Alice In Chains                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Revolution                                                 | Dope                             |           9 |        9.0 |                                                               9;9;9;9;9 |
| Smooth Criminal                                            | Alien Ant Farm                   |           9 |        9.0 |                                                               9;9;9;9;9 |
| Rooster                                                    | Alice In Chains                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Song To The Siren                                          | The Chemical Brothers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Chico's Groove                                             | The Chemical Brothers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Alive Alone                                                | The Chemical Brothers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Block Rockin' Beats                                        | The Chemical Brothers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Dig Your Own Hole                                          | The Chemical Brothers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Welcome Home                                               | Coheed And Cambria               |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Sometimes I Feel So Deserted                               | The Chemical Brothers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Reflexion                                                  | The Chemical Brothers            |     9;10;10 |        9.7 |                                 9;10;10;9;10;10;9;10;10;9;10;10;9;10;10 |
| Vicarious                                                  | Tool                             |     9;10;10 |        9.7 |                                 9;10;10;9;10;10;9;10;10;9;10;10;9;10;10 |
| Overlord                                                   | Lamb Of God                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Another Heart                                              | Tremonti                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Lit Up                                                     | Buckcherry                       |     9;10;10 |        9.7 |                                 9;10;10;9;10;10;9;10;10;9;10;10;9;10;10 |
| Pepper                                                     | Butthole Surfers                 |     9;10;10 |        9.7 |                                 9;10;10;9;10;10;9;10;10;9;10;10;9;10;10 |
| Detangler                                                  | Nickelback                       |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Little Friend                                              | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Spitfire                                                   | Prodigy                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| Girls                                                      | Prodigy                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| Warped                                                     | Red Hot Chili Peppers            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Come What(ever) May                                        | Stone Sour                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Socio                                                      | Stone Sour                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| 1st Person                                                 | Stone Sour                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Pro-test                                                   | Skinny Puppy                     |           9 |        9.0 |                                                               9;9;9;9;9 |
| Sonne                                                      | Rammstein                        |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Lost                                                       | Stabbing Westward                |           9 |        9.0 |                                                               9;9;9;9;9 |
| Nothing                                                    | Stabbing Westward                |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Betray And Degrade                                         | Seether                          |           9 |        8.9 |                                                         8;9;9;9;9;9;9;9 |
| Feelin' Way Too Damn Good                                  | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Because Of You                                             | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Another Hole In The Head                                   | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| See You At The Show                                        | Nickelback                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Water                                                      | Breaking Benjamin                |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Throw                                                      | Stabbing Westward                |           9 |        9.0 |                                                               9;9;9;9;9 |
| Who Was In My Room Last Night?                             | Butthole Surfers                 |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| The Wooden Song                                            | Butthole Surfers                 |           9 |        9.0 |                                                               9;9;9;9;9 |
| Dancing Fool                                               | Butthole Surfers                 |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| You Don't Know Me                                          | Butthole Surfers                 |           9 |        9.0 |                                                               9;9;9;9;9 |
| Song 2                                                     | Blur                             |           9 |        9.0 |                                                               9;9;9;9;9 |
| Bad Seed Rising                                            | Bad Seed Rising                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Hells Bells                                                | AC/DC                            |     9;10;10 |        9.7 |                                 9;10;10;9;10;10;9;10;10;9;10;10;9;10;10 |
| Crazy Bitch                                                | Buckcherry                       |           9 |        9.0 |                                                               9;9;9;9;9 |
| Fear Inoculum                                              | Tool                             |     9;10;10 |        9.7 |                                 9;10;10;9;10;10;9;10;10;9;10;10;9;10;10 |
| Pneuma                                                     | Tool                             |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Descending                                                 | Tool                             |           9 |        9.0 |                                                               9;9;9;9;9 |
| 7empest                                                    | Tool                             |           9 |        9.0 |                                                               9;9;9;9;9 |
| Supervixen                                                 | Garbage                          |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Vow                                                        | Garbage                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| Freak Flag                                                 | KMFDM                            |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| ℞ 4 The Damned                                             | KMFDM                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| HELL YEAH                                                  | KMFDM                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| FREAK FLAG (Edit)                                          | KMFDM                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Genau                                                      | KMFDM                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Salvation                                                  | KMFDM                            |           9 |        9.0 |                                                               9;9;9;9;9 |
| Blood Vs. Money                                            | KMFDM                            |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Make Your Stand                                            | KMFDM                            |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Sour                                                       | Limp Bizkit                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Everything                                                 | Limp Bizkit                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| High-Fiving MF                                             | Local H                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| Bound For The Floor                                        | Local H                          |           9 |        9.0 |                                                               9;9;9;9;9 |
| RX Queen                                                   | Deftones                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Iron Tusk                                                  | Mastodon                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Megalodon                                                  | Mastodon                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Naked Burn                                                 | Mastodon                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Push It                                                    | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| I'm With Stupid                                            | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Love Dump                                                  | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| I Am                                                       | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Otsegolation                                               | Static-X                         |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| Stem                                                       | Static-X                         |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| Fix                                                        | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| The Trance Is The Motion                                   | Static-X                         |  9;10;10;10 |        9.8 |                  9;10;10;10;9;10;10;10;9;10;10;10;9;10;10;10;9;10;10;10 |
| D.I.Y. (Edit)                                              | KMFDM                            |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| This Is Not                                                | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Otsego Undead                                              | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| ...In A Bag                                                | Static-X                         |         9;9 |        9.0 |                                                     9;9;9;9;9;9;9;9;9;9 |
| Machine                                                    | Static-X                         |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Z28                                                        | Static-X                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| The Way Out Is Through                                     | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Please                                                     | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Just One Fix                                               | Ministry                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| N.W.O                                                      | Ministry                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| With Teeth                                                 | Nine Inch Nails                  |           9 |        9.0 |                                                               9;9;9;9;9 |
| Stigmata                                                   | Ministry                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| The Missing                                                | Ministry                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Misdirected Hostility                                      | 311                              |           9 |        9.0 |                                                               9;9;9;9;9 |
| Golden Dawn                                                | Ministry                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| The Land Of Rape And Honey                                 | Ministry                         |           9 |        9.0 |                                                               9;9;9;9;9 |
| Merry-Go-Round                                             | Slick Idiot                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Let It Rain                                                | Slick Idiot                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Make Me Believe                                            | Slick Idiot                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Blast                                                      | Slick Idiot                      |           9 |        9.0 |                                                               9;9;9;9;9 |
| Wish                                                       | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Happiness In Slavery                                       | Nine Inch Nails                  |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Psalm 69                                                   | Ministry                         |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
| Sex Type Thing                                             | Stone Temple Pilots              |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Wicked Garden                                              | Stone Temple Pilots              |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Sin                                                        | Stone Temple Pilots              |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Beautiful Disaster                                         | 311                              |    10;10;10 |       10.0 |                            10;10;10;10;10;10;10;10;10;10;10;10;10;10;10 |
| Light My Way                                               | Audioslave                       |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| The Grudge                                                 | Tool                             |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| The Patient                                                | Tool                             |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Mantra                                                     | Tool                             |          10 |       10.0 |                                                          10;10;10;10;10 |
| Jambi                                                      | Tool                             |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Judith                                                     | A Perfect Circle                 |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| It's A Long Way To The Top (If You Wanna Rock 'N' Roll)    | AC/DC                            |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Thunderstruck                                              | AC/DC                            |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Lifter                                                     | Deftones                         |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| My Own Summer (Shove It)                                   | Deftones                         |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Swerve City                                                | Deftones                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Change (In The House Of Flies)                             | Deftones                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Sail                                                       | DevilDriver                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Respect                                                    | Devour The Day                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| No Meat - No Man                                           | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Don't Blow Your Top                                        | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Oh Look                                                    | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Killing (For Your Sampling Kit)                            | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Oh Shit                                                    | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Free Your Hate                                             | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hau Ruck                                                   | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Real Thing                                                 | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Every Day's A Good Day                                     | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Ready To Blow                                              | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Auf Wiederseh'n                                            | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Spike In My Veins                                          | Korn                             |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Schism                                                     | Tool                             |          10 |       10.0 |                                                          10;10;10;10;10 |
| Parabol                                                    | Tool                             |          10 |       10.0 |                                                          10;10;10;10;10 |
| Parabola                                                   | Tool                             |          10 |       10.0 |                                                          10;10;10;10;10 |
| Counting Bodies Like Sheep To The Rhythm Of The War Drums  | A Perfect Circle                 |          10 |       10.0 |                                                          10;10;10;10;10 |
| Dream (feat. Yak Gotti)                                    | Young Thug                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Curb                                                       | Nickelback                       |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Spin Me Round (American Psycho Mix)                        | Dope                             |          10 |       10.0 |                                                          10;10;10;10;10 |
| John The Fisherman                                         | Primus                           |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hunger Strike                                              | Temple Of The Dog                |          10 |       10.0 |                                                          10;10;10;10;10 |
| Der Meister                                                | Rammstein                        |          10 |       10.0 |                                                          10;10;10;10;10 |
| Rein Raus                                                  | Rammstein                        |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Turnin' On The Screw                                       | Queens Of The Stone Age          |          10 |       10.0 |                                                          10;10;10;10;10 |
| I'm Designer                                               | Queens Of The Stone Age          |          10 |       10.0 |                                                          10;10;10;10;10 |
| Take It To The Limit                                       | Hinder                           |          10 |       10.0 |                                                          10;10;10;10;10 |
| Leech                                                      | Incubus                          |          10 |       10.0 |                                                          10;10;10;10;10 |
| Pure                                                       | Helmet                           |          10 |       10.0 |                                                          10;10;10;10;10 |
| Thermador                                                  | Butthole Surfers                 |          10 |       10.0 |                                                          10;10;10;10;10 |
| Jawbreaker                                                 | Chevelle                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hail The Apocalypse                                        | Avatar                           |          10 |       10.0 |                                                          10;10;10;10;10 |
| Face To The Floor                                          | Chevelle                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| My Way                                                     | Limp Bizkit                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Psycho                                                     | Muse                             |          10 |       10.0 |                                                          10;10;10;10;10 |
| This Is A Call                                             | Foo Fighters                     |          10 |       10.0 |                                                          10;10;10;10;10 |
| Addicted                                                   | Saving Abel                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Let It Die                                                 | Foo Fighters                     |          10 |       10.0 |                                                          10;10;10;10;10 |
| Cry Of Achilles                                            | Alter Bridge                     |          10 |       10.0 |                                                          10;10;10;10;10 |
| Cochise                                                    | Audioslave                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Gasoline                                                   | Audioslave                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Exploder                                                   | Audioslave                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Out Of Exile                                               | Audioslave                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Ah Ha                                                      | Butthole Surfers                 |          10 |       10.0 |                                                          10;10;10;10;10 |
| Blue Day                                                   | Darker My Love                   |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Set Me On Fire                                             | Flyleaf                          |          10 |       10.0 |                                                          10;10;10;10;10 |
| Lights Go Out                                              | Fozzy                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Blood                                                      | In This Moment                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| Oh Lord                                                    | In This Moment                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| Money                                                      | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Ultra                                                      | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Juke Joint Jezebel                                         | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Megalomaniac                                               | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Unfit                                                      | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Kunst                                                      | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Pussy Riot                                                 | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| I ♥ Not                                                    | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Krank                                                      | KMFDM                            |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Rebels In Kontrol                                          | KMFDM                            |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Lynchmob                                                   | KMFDM                            |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Take It Like A Man                                         | KMFDM                            |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Vive La Mort!                                              | KMFDM                            |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Dystopia                                                   | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Papercut                                                   | Linkin Park                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| With You                                                   | Linkin Park                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Points Of Authority                                        | Linkin Park                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hit The Floor                                              | Linkin Park                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Cowboy Hat                                                 | Nickelback                       |          10 |       10.0 |                                                          10;10;10;10;10 |
